epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1957,1.66303,4.09714,1.39743,0.01758,0.6502,0.2723,0.18406,1.72124,3.89538,1.28877,4e-05,4e-05,4e-05
2,31.0198,1.64012,3.86992,1.31207,0.02152,0.75959,0.27134,0.15367,1.6172,3.77458,1.19722,8.8218e-05,8.8218e-05,8.8218e-05
3,45.5959,1.60324,3.30389,1.23536,0.01848,0.78367,0.29451,0.15534,1.61664,3.66607,1.17769,0.000134456,0.000134456,0.000134456
4,60.4585,1.52028,2.56154,1.21085,0.0186,0.79184,0.29755,0.15149,1.67746,3.45676,1.20283,0.000178714,0.000178714,0.000178714
5,196.649,1.54425,1.98741,1.21715,0.99313,0.13614,0.28379,0.14502,1.70476,3.17486,1.18014,0.000220992,0.000220992,0.000220992
6,276.185,1.49703,1.79655,1.21145,0.98387,0.16141,0.28396,0.14021,1.71811,3.11405,1.16622,0.00026129,0.00026129,0.00026129
7,290.438,1.54128,1.67914,1.20418,0.9939,0.18566,0.321,0.17725,1.78267,3.09068,1.18513,0.000299608,0.000299608,0.000299608
8,305.214,1.50669,1.5216,1.15207,0.99012,0.2059,0.35002,0.21186,1.74175,2.98959,1.16781,0.000335946,0.000335946,0.000335946
9,319.864,1.48739,1.42432,1.15187,0.9768,0.23176,0.3773,0.2044,1.81395,2.68053,1.20681,0.000370304,0.000370304,0.000370304
10,334.785,1.53681,1.39857,1.15194,0.97832,0.24362,0.38251,0.22094,1.75319,2.5993,1.1994,0.000402682,0.000402682,0.000402682
11,349.631,1.49511,1.33376,1.12781,0.95614,0.24878,0.40915,0.23862,1.81835,2.50143,1.20955,0.00043308,0.00043308,0.00043308
12,365.316,1.48293,1.31219,1.12342,0.76813,0.29748,0.44254,0.25941,1.81864,2.34173,1.21081,0.000461498,0.000461498,0.000461498
13,379.418,1.42341,1.33697,1.09446,0.76423,0.31897,0.45322,0.26255,1.78296,2.24298,1.20009,0.000487936,0.000487936,0.000487936
14,394.148,1.41556,1.23278,1.10116,0.74622,0.3088,0.45797,0.26239,1.76182,2.11115,1.19197,0.000512394,0.000512394,0.000512394
15,409.42,1.42009,1.22202,1.08162,0.58974,0.41068,0.48278,0.27394,1.78648,1.92809,1.19457,0.000534872,0.000534872,0.000534872
16,424.894,1.4036,1.25016,1.09908,0.62136,0.45291,0.51049,0.29331,1.75197,1.92799,1.1792,0.00055537,0.00055537,0.00055537
17,440.281,1.34688,1.14758,1.0478,0.6265,0.4683,0.5568,0.33768,1.73621,1.90145,1.18327,0.000573888,0.000573888,0.000573888
18,455.945,1.39841,1.14686,1.0713,0.57862,0.43001,0.57267,0.33682,1.76787,1.78664,1.19499,0.000590426,0.000590426,0.000590426
19,471.466,1.3566,1.18123,1.07002,0.57066,0.43186,0.56685,0.3305,1.78299,1.69302,1.20334,0.000604984,0.000604984,0.000604984
20,486.514,1.36322,1.14102,1.06412,0.79948,0.40446,0.58401,0.35505,1.73476,1.58901,1.19023,0.000617562,0.000617562,0.000617562
21,501.323,1.37528,1.21099,1.07468,0.66127,0.47821,0.62495,0.38832,1.73018,1.58517,1.17831,0.000604,0.000604,0.000604
22,516.422,1.37631,1.15908,1.02203,0.70554,0.62617,0.66251,0.40913,1.76628,1.59791,1.1856,0.0005842,0.0005842,0.0005842
23,531.563,1.31389,1.16729,1.02267,0.68049,0.75159,0.65048,0.38868,1.77257,1.59934,1.18362,0.0005644,0.0005644,0.0005644
24,546.604,1.31242,1.07667,1.03896,0.65992,0.7906,0.67523,0.38066,1.80769,1.40218,1.22471,0.0005446,0.0005446,0.0005446
25,562.652,1.30804,1.05735,1.0333,0.64034,0.82619,0.65312,0.37729,1.76998,1.35097,1.22134,0.0005248,0.0005248,0.0005248
26,578.042,1.37166,1.07343,1.05,0.64507,0.78222,0.66114,0.38515,1.74141,1.34241,1.19346,0.000505,0.000505,0.000505
27,593.812,1.33009,0.99543,1.04072,0.67013,0.77268,0.79144,0.47608,1.72321,1.30624,1.18056,0.0004852,0.0004852,0.0004852
28,609.442,1.32677,1.01091,1.04903,0.68516,0.71347,0.78341,0.49146,1.78389,1.27491,1.2091,0.0004654,0.0004654,0.0004654
29,625.416,1.28093,1.00736,1.025,0.65461,0.71239,0.77879,0.48348,1.78367,1.2518,1.21592,0.0004456,0.0004456,0.0004456
30,640.888,1.33593,1.02709,1.04779,0.66525,0.72176,0.77965,0.48855,1.7589,1.24362,1.20154,0.0004258,0.0004258,0.0004258
31,656.888,1.27945,0.9814,1.02295,0.67271,0.72489,0.78169,0.48857,1.74511,1.24054,1.18343,0.000406,0.000406,0.000406
32,672.048,1.30099,0.95194,1.01877,0.616,0.73522,0.79722,0.47516,1.78964,1.22098,1.19125,0.0003862,0.0003862,0.0003862
33,687.824,1.30131,0.99553,1.0129,0.63667,0.73739,0.79754,0.48127,1.79254,1.20484,1.19826,0.0003664,0.0003664,0.0003664
34,703.865,1.24371,0.92827,1.00009,0.62309,0.73426,0.7968,0.48139,1.77522,1.18588,1.20396,0.0003466,0.0003466,0.0003466
35,719.575,1.23111,0.96377,0.98526,0.65743,0.75351,0.80148,0.49346,1.74782,1.15985,1.19834,0.0003268,0.0003268,0.0003268
36,735.106,1.22499,0.89738,1.01005,0.83211,0.75861,0.8338,0.52361,1.7505,1.13418,1.19409,0.000307,0.000307,0.000307
37,749.798,1.21547,0.91682,0.99135,0.83062,0.74804,0.83162,0.51957,1.76035,1.15019,1.1931,0.0002872,0.0002872,0.0002872
38,765.092,1.19936,0.90514,0.99308,0.87636,0.72137,0.82941,0.49614,1.76814,1.15637,1.19644,0.0002674,0.0002674,0.0002674
39,780.233,1.2015,0.88503,0.98641,0.90472,0.71465,0.82794,0.49615,1.76124,1.1428,1.19843,0.0002476,0.0002476,0.0002476
40,795.613,1.21319,0.90387,0.99507,0.74669,0.77336,0.81215,0.48532,1.78043,1.11604,1.21382,0.0002278,0.0002278,0.0002278
41,811.262,1.19769,1.02757,0.98216,0.7796,0.76487,0.81213,0.48059,1.79392,1.11806,1.21722,0.000208,0.000208,0.000208
42,826.507,1.23605,0.99581,0.98274,0.7702,0.80945,0.82246,0.48914,1.77889,1.11624,1.20887,0.0001882,0.0001882,0.0001882
43,840.922,1.22049,1.00313,0.96841,0.78244,0.83584,0.84989,0.53353,1.74553,1.10423,1.19486,0.0001684,0.0001684,0.0001684
44,855.584,1.14987,0.94215,0.96612,0.84978,0.80939,0.85571,0.55364,1.71014,1.10037,1.19726,0.0001486,0.0001486,0.0001486
45,870.362,1.23727,0.95028,1.0031,0.85444,0.81452,0.86242,0.55587,1.70682,1.11144,1.19768,0.0001288,0.0001288,0.0001288
46,885.366,1.21471,0.94319,0.9657,0.85743,0.83333,0.86923,0.55558,1.70885,1.10379,1.1943,0.000109,0.000109,0.000109
47,912.645,1.1869,0.9295,0.95812,0.82696,0.85108,0.87561,0.53158,1.71551,1.10176,1.19202,8.92e-05,8.92e-05,8.92e-05
48,958.756,1.14478,0.91396,0.95635,0.77803,0.85588,0.87291,0.52319,1.73048,1.0884,1.19781,6.94e-05,6.94e-05,6.94e-05
49,972.43,1.15062,0.89657,0.95794,0.79198,0.85588,0.87673,0.52674,1.73091,1.07502,1.19698,4.96e-05,4.96e-05,4.96e-05
50,986.67,1.18288,0.9127,0.96457,0.80298,0.85588,0.87766,0.52613,1.72589,1.06592,1.19386,2.98e-05,2.98e-05,2.98e-05
